company_name,ticker,fiscal_year,period_end,monetary_unit,cash_conversion_unit,day_count_convention,net_debt_sign_convention,revenue,revenue_status,revenue_growth,revenue_growth_status,gross_margin,gross_margin_status,sga_as_percent_of_revenue,sga_as_percent_of_revenue_status,derived_operating_income,derived_operating_income_status,operating_margin,operating_margin_status,net_income,net_income_status,net_margin,net_margin_status,operating_cash_flow,operating_cash_flow_status,capital_expenditures,capital_expenditures_status,free_cash_flow,free_cash_flow_status,free_cash_flow_margin,free_cash_flow_margin_status,cash_conversion,cash_conversion_status,cash_and_short_term_investments,cash_and_short_term_investments_status,current_ratio,current_ratio_status,net_working_capital,net_working_capital_status,accounts_receivable,accounts_receivable_status,accounts_receivable_growth,accounts_receivable_growth_status,receivables_days_proxy,receivables_days_proxy_status,inventory,inventory_status,inventory_growth,inventory_growth_status,inventory_days,inventory_days_status,total_interest_bearing_debt,total_interest_bearing_debt_status,total_operating_lease_liabilities,total_operating_lease_liabilities_status,net_debt_after_cash_and_short_term_investments,net_debt_after_cash_and_short_term_investments_status,diluted_eps,diluted_eps_status,diluted_eps_growth,diluted_eps_growth_status,diluted_weighted_average_shares,diluted_weighted_average_shares_status
"NIKE, Inc.",NKE,FY2022,2022-05-31,USD millions,x,365,negative value means net cash,46710,selected,,not_applicable,0.459837,calculated,0.3169342753157782059516163562,calculated,6675,calculated,0.142903,calculated,6046,selected,0.129437,calculated,5188,selected,758,selected,4430,calculated,0.094841,calculated,0.858088,calculated,12997,calculated,2.629356943150046598322460391,calculated,17483,calculated,4667,selected,,not_applicable,,not_applicable,8420,selected,,not_applicable,,not_applicable,9430,calculated,3197,calculated,-3567,calculated,3.75,selected,,not_applicable,1610.8,selected
"NIKE, Inc.",NKE,FY2023,2023-05-31,USD millions,x,365,negative value means net cash,51217,selected,0.096489,calculated,0.435246,calculated,0.3197571118964406349454282758,calculated,5915,calculated,0.115489,calculated,5070,selected,0.098991,calculated,5841,selected,969,selected,4872,calculated,0.095125,calculated,1.152071,calculated,10675,calculated,2.722774416594641313742437338,calculated,15946,calculated,4131,selected,-0.114848939361474180415684594,calculated,31.34964953042934963000566218,calculated,8454,selected,0.004038004750593824228028503563,calculated,106.4651685393258426966292135,calculated,8933,calculated,3211,calculated,-1742,calculated,3.23,selected,-0.1386666666666666666666666667,calculated,1569.8,selected
"NIKE, Inc.",NKE,FY2024,2024-05-31,USD millions,x,365,negative value means net cash,51362,selected,0.002831,calculated,0.445602,calculated,0.3227288656983762314551614034,calculated,6311,calculated,0.122873,calculated,5700,selected,0.110977,calculated,7429,selected,812,selected,6617,calculated,0.128831,calculated,1.303333,calculated,11582,calculated,2.396110639101293306900783536,calculated,14789,calculated,4427,selected,0.07165335269910433309126119584,calculated,30.40837584206222499123865893,calculated,7519,selected,-0.1105985332387035722734800095,calculated,102.3730465320456540825285338,calculated,8909,calculated,3043,calculated,-2673,calculated,3.73,selected,0.1547987616099071207430340557,calculated,1529.7,selected
"NIKE, Inc.",NKE,FY2025,2025-05-31,USD millions,x,365,negative value means net cash,46309,selected,-0.09838,calculated,0.427347,calculated,0.3474054719385000755792610508,calculated,3702,calculated,0.079941,calculated,3219,selected,0.069511,calculated,3698,selected,430,selected,3268,calculated,0.070569,calculated,1.148804,calculated,9151,calculated,2.211054325194018550066250237,calculated,12796,calculated,4717,selected,0.06550711542805511633160153603,calculated,36.03575978751430607441318102,calculated,7489,selected,-0.003989892272908631466950392339,calculated,103.2829292205588446019834835,calculated,7966,calculated,3052,calculated,-1185,calculated,2.16,selected,-0.4209115281501340482573726542,calculated,1487.6,selected
"NIKE, Inc.",NKE,FY2026,2026-05-31,USD millions,x,365,negative value means net cash,46398,selected,0.001922,calculated,0.429135,calculated,0.3472994525626104573472994526,calculated,3797,calculated,0.081835,calculated,3108,selected,0.066986,calculated,2868,selected,684,selected,2184,calculated,0.047071,calculated,0.92278,calculated,9027,calculated,1.960867139555272176615924125,calculated,12056,calculated,5931,selected,0.2573669705321178715285138859,calculated,41.88240872451398767188240873,calculated,7501,selected,0.001602350113499799706235812525,calculated,103.2836863366934722694151848,calculated,7942,calculated,3091,calculated,-1085,calculated,2.1,selected,-0.02777777777777777777777777778,calculated,1481,selected
