company_name,ticker,cik,fiscal_year,period_start,period_end,monetary_unit,shares_unit,ratio_unit,revenue,revenue_status,cost_of_revenue,cost_of_revenue_status,gross_profit,gross_profit_status,total_selling_and_administrative_expense,total_selling_and_administrative_expense_status,income_before_income_taxes,income_before_income_taxes_status,interest_income_expense_nonoperating_net,interest_income_expense_nonoperating_net_status,other_nonoperating_income_expense,other_nonoperating_income_expense_status,net_income,net_income_status,diluted_eps,diluted_eps_status,diluted_weighted_average_shares,diluted_weighted_average_shares_status,cash_and_cash_equivalents,cash_and_cash_equivalents_status,short_term_investments,short_term_investments_status,accounts_receivable,accounts_receivable_status,inventory,inventory_status,current_assets,current_assets_status,current_liabilities,current_liabilities_status,total_assets,total_assets_status,notes_payable_and_short_term_borrowings,notes_payable_and_short_term_borrowings_status,current_portion_long_term_debt,current_portion_long_term_debt_status,noncurrent_long_term_debt,noncurrent_long_term_debt_status,current_operating_lease_liabilities,current_operating_lease_liabilities_status,noncurrent_operating_lease_liabilities,noncurrent_operating_lease_liabilities_status,shareholders_equity,shareholders_equity_status,operating_cash_flow,operating_cash_flow_status,capital_expenditures,capital_expenditures_status,depreciation_and_amortization,depreciation_and_amortization_status,derived_operating_income,derived_operating_income_status,gross_margin,gross_margin_status,operating_margin,operating_margin_status,net_margin,net_margin_status,operating_cash_flow_margin,operating_cash_flow_margin_status,free_cash_flow,free_cash_flow_status,free_cash_flow_margin,free_cash_flow_margin_status,cash_conversion,cash_conversion_status,total_interest_bearing_debt,total_interest_bearing_debt_status,total_operating_lease_liabilities,total_operating_lease_liabilities_status,revenue_growth,revenue_growth_status,revenue_cagr_five_observations,revenue_cagr_five_observations_status
"NIKE, Inc.",NKE,0000320187,FY2022,2021-06-01,2022-05-31,USD millions,millions,decimal,46710,selected,25231,selected,21479,selected,14804,selected,6651,selected,-205,selected,181,selected,6046,selected,3.75,selected,1610.8,selected,8574,selected,4423,selected,4667,selected,8420,selected,28213,selected,10730,selected,40321,selected,10,selected,500,selected,8920,selected,420,selected,2777,selected,15281,selected,5188,selected,758,selected,717,selected,6675,calculated,0.459837,calculated,0.142903,calculated,0.129437,calculated,0.111068,calculated,4430,calculated,0.094841,calculated,0.858088,calculated,9430,calculated,3197,calculated,,not_applicable,,not_applicable
"NIKE, Inc.",NKE,0000320187,FY2023,2022-06-01,2023-05-31,USD millions,millions,decimal,51217,selected,28925,selected,22292,selected,16377,selected,6201,selected,6,selected,280,selected,5070,selected,3.23,selected,1569.8,selected,7441,selected,3234,selected,4131,selected,8454,selected,25202,selected,9256,selected,37531,selected,6,selected,0,selected,8927,selected,425,selected,2786,selected,14004,selected,5841,selected,969,selected,703,selected,5915,calculated,0.435246,calculated,0.115489,calculated,0.098991,calculated,0.114044,calculated,4872,calculated,0.095125,calculated,1.152071,calculated,8933,calculated,3211,calculated,0.096489,calculated,,not_applicable
"NIKE, Inc.",NKE,0000320187,FY2024,2023-06-01,2024-05-31,USD millions,millions,decimal,51362,selected,28475,selected,22887,selected,16576,selected,6700,selected,161,selected,228,selected,5700,selected,3.73,selected,1529.7,selected,9860,selected,1722,selected,4427,selected,7519,selected,25382,selected,10593,selected,38110,selected,6,selected,1000,selected,7903,selected,477,selected,2566,selected,14430,selected,7429,selected,812,selected,796,selected,6311,calculated,0.445602,calculated,0.122873,calculated,0.110977,calculated,0.14464,calculated,6617,calculated,0.128831,calculated,1.303333,calculated,8909,calculated,3043,calculated,0.002831,calculated,,not_applicable
"NIKE, Inc.",NKE,0000320187,FY2025,2024-06-01,2025-05-31,USD millions,millions,decimal,46309,selected,26519,selected,19790,selected,16088,selected,3885,selected,107,selected,76,selected,3219,selected,2.16,selected,1487.6,selected,7464,selected,1687,selected,4717,selected,7489,selected,23362,selected,10566,selected,36579,selected,5,selected,0,selected,7961,selected,502,selected,2550,selected,13213,selected,3698,selected,430,selected,775,selected,3702,calculated,0.427347,calculated,0.079941,calculated,0.069511,calculated,0.079855,calculated,3268,calculated,0.070569,calculated,1.148804,calculated,7966,calculated,3052,calculated,-0.09838,calculated,,not_applicable
"NIKE, Inc.",NKE,0000320187,FY2026,2025-06-01,2026-05-31,USD millions,millions,decimal,46398,selected,26487,selected,19911,selected,16114,selected,3900,selected,50,selected,53,selected,3108,selected,2.1,selected,1481,selected,7563,selected,1464,selected,5931,selected,7501,selected,24603,selected,12547,selected,38410,selected,0,documented_zero,2000,selected,5942,selected,478,selected,2613,selected,14865,selected,2868,selected,684,selected,747,selected,3797,calculated,0.429135,calculated,0.081835,calculated,0.066986,calculated,0.061813,calculated,2184,calculated,0.047071,calculated,0.92278,calculated,7942,calculated,3091,calculated,0.001922,calculated,-0.001674,calculated
