scenario,model_date,reference_market_date,timing_convention,wacc,terminal_growth,pv_explicit_fcff,terminal_value_at_fy2031,pv_terminal_value,enterprise_value,cash_and_short_term_investments,carrying_interest_bearing_debt,redeemable_preferred_stock,other_adjustments,operating_lease_liabilities_memorandum,equity_value,diluted_proxy_shares,illustrative_value_per_share,basic_share_value_cross_check,carrying_debt_wacc_cross_check,carrying_wacc_value_per_share_cross_check,reference_market_price,premium_discount_to_reference,terminal_value_share_of_enterprise_value,implied_terminal_ev_ebitda,terminal_value_observation,status,notes
base,2026-09-04,2026-09-04,Exact fiscal-year-end dates; 365-day XNPV-equivalent exponents,0.08487443827540290261078735104164066393683,0.025,15231.30307330836990472800051,80422.86932363971122337006336,54662.63188056748226734378764,69893.93495387585217207178815,9027,7942,0.3,0,3091,70978.63495387585217207178815,1484.698703,47.80676026082300158921320762,47.84543108149643739329362134,0.08468694402338031986432473125546565497841,47.95765890530815733120736662,38.40,0.244967715125598999719093948,0.7820797600913476217217951181,11.21967735870137113299042912,warning,valuation_calculated,Illustrative intrinsic value from project analyst scenarios; not a price target or investment recommendation.
bull,2026-09-04,2026-09-04,Exact fiscal-year-end dates; 365-day XNPV-equivalent exponents,0.08487443827540290261078735104164066393683,0.025,18247.27448956238609697099061,101632.0383832738017682177364,69078.29511852059233201381901,87325.56960808297842898480962,9027,7942,0.3,0,3091,88410.26960808297842898480962,1484.698703,59.54761692014691443357771265,59.59578490314526309969063021,0.08468694402338031986432473125546565497841,59.73812467755134446909695741,38.40,0.550719190628825896707752934,0.7910431667213151218770818584,11.41272910139662790889320694,warning,valuation_calculated,Illustrative intrinsic value from project analyst scenarios; not a price target or investment recommendation.
bear,2026-09-04,2026-09-04,Exact fiscal-year-end dates; 365-day XNPV-equivalent exponents,0.08487443827540290261078735104164066393683,0.025,10126.75539865676242070184200,49161.73584181992611568250509,33414.74746588266732155899987,43541.50286453942974226084187,9027,7942,0.3,0,3091,44626.20286453942974226084187,1484.698703,30.05741351721207083337826683,30.08172691644033728707671264,0.08468694402338031986432473125546565497841,30.14976811348541393424440123,38.40,-0.2172548563226023220474409680,0.7674229245103967656927059952,10.67097748898193980811723921,warning,valuation_calculated,Illustrative intrinsic value from project analyst scenarios; not a price target or investment recommendation.
